0.1	0.3	0.3	0.3	
0.1	0.32	0.29	0.29	
0.13	0.31	0.28	0.28	
0.12	0.3	0.31	0.27	
0.11	0.29	0.3	0.3	
0.1	0.28	0.33	0.29	
0.13	0.27	0.32	0.28	
0.16	0.26	0.31	0.27	
0.19	0.25	0.3	0.26	
0.22	0.24	0.29	0.25	
0.25	0.23	0.28	0.24	
0.28	0.22	0.27	0.23	
0.27	0.25	0.26	0.22	
0.3	0.24	0.25	0.21	
0.33	0.23	0.24	0.2	
0.32	0.26	0.23	0.19	
0.31	0.25	0.22	0.22	
0.3	0.24	0.25	0.21	
0.29	0.23	0.28	0.2	
0.28	0.22	0.27	0.23	
0.27	0.21	0.26	0.26	
0.26	0.2	0.25	0.29	
0.25	0.19	0.28	0.28	
0.28	0.18	0.27	0.27	
0.27	0.21	0.26	0.26	
0.26	0.2	0.25	0.29	
0.29	0.19	0.24	0.28	
0.28	0.18	0.27	0.27	
0.31	0.17	0.26	0.26	
0.34	0.16	0.25	0.25	
0.33	0.15	0.28	0.24	
0.36	0.14	0.27	0.23	
0.35	0.17	0.26	0.22	
0.38	0.16	0.25	0.21	
0.41	0.15	0.24	0.2	
0.4	0.18	0.23	0.19	
